Date,SMA5-20,SMA8-15,SMA20-50,EMA5-20,EMA8-15,EMA20-50,MACD12-26,AO14,ADX14,WD14,PPO12_26,RSI14,MFI14,TSI,SO14,CMO14,ATRP14,PVO14,FI13,FI50,ADL,OBV,Open,High,Low,Close,Volume
2018-11-08,4.118482450801399,2.0237326444946624,-5.908778538522251,2.679213338162006,1.6456592963891987,-2.475077812054673,0.8364643514402621,57.14285714285714,19.91272841367022,2.395284478112842,0.8364643514402621,47.77638175342971,45.21041310281087,2.1440294463321163,0.48714479025710383,3.153988868274572,11.793873156472626,3.2442403609542576,44132.3192162984,67474.19344967294,60691970.84927461,71738225.54980013,53.88,54.46,51.9,52.12,361486.2
2018-11-09,3.315665260958716,2.3816980717819023,-5.851369957819435,1.3754093448636309,1.260125792786572,-2.409443991045186,0.6439758066634312,57.14285714285714,19.044729108583873,1.2876037875776563,0.6439758066634313,46.405746177760804,42.445472141173326,1.3368110362314634,0.4235453315290931,0.7246376811594051,12.073097352924343,6.686782516210791,18987.88719514987,52900.33627667038,60637222.391576774,71492740.52980013,52.12,52.5,51.11,51.65,245485.02
2018-11-10,2.6960072770906995,2.5326691889518886,-5.578763856452086,0.6227731976977859,0.9362743172071999,-2.259904371462048,0.6881401251834562,57.142857142857146,18.238729753860834,1.180030307332812,0.6881401251834562,46.75574639388552,47.976593370941885,0.8495949722814738,0.4370771312584573,2.0556227327690664,12.209083806240233,20.650176150440043,18899.37975569137,7881.228551298212,60575253.0307334,71631752.87980013,51.65,52.35,51.52,51.75,139012.35
2018-11-11,0.8367876651299913,2.673205908579857,-5.323425419228016,-0.5671432242313741,0.5331954082874979,-2.209402239885513,0.5637488688010557,57.14285714285715,17.45326032144672,-1.173687999392988,0.5637488688010557,44.08910566636963,47.739321081827526,-0.10482740861841706,0.32070365358592684,16.333563059958635,12.565843879864296,19.82208789856,19373.646746529794,-1189.2189005072833,60619796.75342248,71366717.72980012,51.75,51.88,49.5,50.89,265035.15
2018-11-12,-0.39973609655760467,1.9053921124500097,-5.103709378038372,-1.45254945333331,-0.12157987511897393,-2.229230996570763,0.3207316225620947,50.0,16.72389584849076,-1.0819345025663631,0.3207316225620947,42.10443904018775,46.269482816378456,-1.6482080404010586,0.1943262411347515,9.238031018206318,12.824130905835759,16.446772458267024,-92.77771263114332,-8797.83295455473,60539935.70075072,71223405.42980012,50.89,51.25,49.94,50.23,143312.3
2018-11-13,-1.3583995017904413,0.7454721862872042,-5.064554033980461,-2.5020259263708713,-0.9512848278241735,-2.428281361967782,-0.15839095154366425,-50.0,16.84335702276088,-2.8829696784063197,-0.15839095154366425,38.38300810015489,51.61385570995966,-5.0509342692940296,0.0,-3.271327774214272,13.251787890588682,21.02552516678706,-57894.332402269414,-8453.097420010485,60446096.75349045,70975806.27980012,50.23,50.42,48.23,48.91,247599.15
2018-11-14,-3.994817534009927,-1.6694049994132083,-5.365489362650764,-6.413978138708475,-3.095676113676594,-3.3616552481034327,-1.6801163622144935,-57.142857142857146,19.15508272361219,-10.715747157246739,-1.6801163622144935,26.577443794864365,47.06847860100543,-15.655618216402578,0.0,-35.204567078972396,16.277166740974103,39.76595606531276,-2038632.85911988,-552265.0607634463,59513037.25535835,69023031.64980012,48.91,49.91,40.22,42.75,1952774.63
2018-11-15,-6.52589081625585,-3.4763751067884647,-5.646513573367899,-8.3388091347452,-4.2950405162806575,-4.094453395711402,-2.740224275543146,-57.142857142857146,21.401970271689834,-9.895259394237772,-2.740224275543146,28.98320936960306,29.893910874614647,-22.127846774871056,0.04787234042553212,-36.96385542168671,17.061903800790944,46.50489237587979,-1653467.8037458519,-501487.519988091,60329413.58256534,69977454.11980012,42.75,43.67,39.66,43.38,954422.47
2018-11-16,-9.268585131894481,-4.984118335016729,-5.803512602827386,-10.175443579952761,-5.329640119615737,-4.865635636114706,-4.051768412167097,-71.42857142857143,23.488365852047643,-8.625060803231957,-4.051768412167097,26.544879052428,24.14061867788395,-28.210443538463167,0.0,-40.545454545454504,18.89056408621063,37.11293902465736,-1542859.239533968,-574189.5117378592,60025877.32526804,69509502.38980012,43.38,43.57,41.35,41.74,467951.73
2018-11-17,-11.904161157817185,-6.332034247405197,-6.021534340747939,-11.155215166959113,-5.962440529402243,-5.575289202032295,-5.120957585538228,-78.57142857142857,25.47157808226281,-7.7547422005107745,-5.120957585538228,26.11211595541539,23.678738791481592,-33.720001029602344,0.0,-66.59619450317122,20.16236535517722,33.43770329821194,-1387661.334440194,-547090.346508347,60005056.16703274,69155542.69980012,41.74,41.8,41.12,41.44,353959.69
2018-11-18,-14.192519128959146,-7.743163889532276,-5.956744938095127,-11.172667132662943,-6.201176937458473,-6.046220704370042,-5.981177829885119,-78.57142857142858,26.572232997664912,-5.860083066129705,-5.981177829885119,27.636708224259294,25.5668741984518,-37.377837888943745,0.024879060124395263,-62.39316239316237,21.033611524506274,30.130595475221767,-1168357.137041814,-520341.4296853913,59862032.5141665,69419715.79980011,41.44,43.01,41.44,41.8,264173.1
2018-11-19,-15.89809074619487,-9.343825970324394,-6.303069132676713,-13.913137450429515,-7.647116533859671,-7.264929195664111,-7.77759961795863,-92.85714285714286,28.785775318973077,-9.775451119224853,-7.777599617958632,20.17669600106177,16.43018489065618,-44.62143755541011,0.0,-90.21543985637341,26.807484945180327,36.063504606764894,-2401425.097396563,-876769.0569008776,58800055.499754734,68025614.69980012,41.8,41.8,35.0,35.81,1394101.1
2018-11-20,-19.02470727591013,-11.415367339005735,-6.947912602419044,-17.586820774710798,-9.491939980643714,-8.837431431009731,-9.870027379662654,-92.85714285714286,31.398112451205918,-11.59536706065288,-9.870027379662654,17.261493662627032,8.140931066921041,-51.46447292568678,0.0,-90.81331647703327,32.333278393641024,44.726388386482,-3293820.6886922056,-1183551.559858007,57889723.37249711,65849257.75980012,35.81,37.45,30.23,32.33,2176356.94
2018-11-21,-20.804954220360486,-12.630933808780917,-7.593707401249696,-17.89018162514788,-9.792513901078648,-9.959872888304634,-11.037487085678746,-85.71428571428572,33.82385407399355,-10.121400574671096,-11.037487085678746,24.177455885555332,7.069031455740145,-53.11148487659457,0.10308236483072254,-73.92753019575176,32.354531726304884,47.93521412771177,-2512078.9304919997,-1053557.5961523515,58771568.29249711,66731102.67980012,32.33,34.37,31.0,34.37,881844.92
2018-11-22,-23.489962112964342,-12.886211667050967,-8.60024598287672,-19.585923864131487,-10.231395070564394,-11.421873959030712,-12.615321705945044,-85.71428571428572,35.98731298836989,-8.768290242010707,-12.615321705945046,21.35934217190244,6.871331078850716,-55.451662983158606,0.0,-76.40407086317374,37.54285787269026,49.81332018061715,-2429805.068554375,-1083107.712992654,58298161.66179944,66165644.75980012,34.37,34.54,31.1,31.38,565457.92
2018-11-23,-26.343052143659058,-13.52745160266583,-9.536556229059158,-19.892865794342924,-10.226617040222019,-12.622986243856474,-13.682490744129483,-85.71428571428572,38.089407590191435,-8.19424268455462,-13.682490744129483,22.626177220798127,6.885314973209574,-56.462351096373716,0.019145802650957316,-74.496644295302,39.0130703731851,50.4369433653472,-2036692.5682680279,-1030284.7243194884,58432629.39098643,66884754.78980012,31.38,32.77,30.31,31.77,719110.03
2018-11-24,-27.5023450547942,-14.304155548967284,-11.023487405392887,-21.03838220409501,-10.868640796760403,-14.262787381160907,-15.291128748042361,-92.85714285714286,40.30680230859897,-8.522809898515154,-15.29112874804236,19.82221413233698,3.599342622054195,-58.392882415950766,0.0,-76.52711050102951,45.82718281824109,58.57867958305406,-2184719.5060133208,-1112776.0412123494,57826139.097759336,66039037.76980012,31.77,32.9,27.88,28.59,845717.02
2018-11-25,-26.447261746701294,-14.716275734917547,-12.40289173689476,-19.243910878884705,-10.319128708433244,-15.412187927816706,-15.958095125813792,-85.71428571428572,42.51737374253725,-8.36948262695916,-15.958095125813793,25.453630923852955,3.447272233109345,-57.55624613317739,0.08317929759704255,-65.52179656538968,45.119609453428446,62.10697705370115,-1420217.5083628206,-944231.4047126671,58403315.50156886,67554125.82980011,28.59,32.21,26.33,30.39,1515088.06
2018-11-26,-26.632129381361985,-15.652596020853276,-14.145927861038562,-18.637544984639714,-10.138497226490973,-16.70377795668394,-16.351010554972028,-78.57142857142857,44.57004721690851,-7.513036909959005,-16.351010554972024,24.096757914160193,3.210010890665643,-57.432209719091325,0.022637795275590598,-65.54455445544552,48.82568012482413,43.96174178565741,-1469934.286016784,-979036.7506701748,58071736.41621001,66379549.069800116,30.39,31.73,27.55,29.05,1174576.76
2018-11-27,-24.808088372963855,-14.367963857413065,-15.552505755268333,-15.74145261581085,-8.423700160542664,-17.450422016094432,-16.050459879501354,-64.28571428571428,46.47610115739612,-6.9551610442718825,-16.050459879501354,29.390587909345484,10.167559306488968,-55.04376325953769,0.14942528735632188,-46.15681730397836,46.19206423733728,36.47901635297447,-791764.3038837131,-887695.8551674882,58437050.561121255,67073235.47980011,29.05,31.6,28.22,30.8,693686.41
2018-11-28,-21.78097754630515,-11.298730092837184,-16.576149462008356,-10.415321335609754,-5.215800592664863,-17.412059041289,-14.511875133279343,-64.28571428571429,45.87965171243327,-4.2723798493273915,-14.511875133279345,38.749323664683196,14.235051410820788,-49.108312441038734,0.39012846517917504,-31.297709923664137,41.523163397284726,37.356888687100735,-98285.30383758045,-688867.0474711577,58840709.58054764,68083348.71980011,30.8,35.93,30.7,34.36,1010113.24
2018-11-29,-17.36755442879172,-10.040043019839054,-17.665869026304946,-6.8143436774787425,-3.530454392104645,-17.467540365934834,-13.327090199247198,-42.85714285714286,45.32580579925349,-3.988322429025566,-13.327090199247198,37.42870700504969,23.645792043338204,-45.36103625353865,0.3701741105223314,-29.4369208838204,42.38898836469352,37.3685709431076,-175757.94001060343,-689078.8671623857,58485491.804882236,67335970.51980011,34.36,35.42,32.79,33.48,747378.2
2018-11-30,-14.483202920530955,-7.876638305397814,-19.172271642438723,-5.85445308704836,-2.4804503130396958,-17.877631693845792,-12.659534241907973,-42.857142857142854,45.23962616635793,-4.7688548972300175,-12.659534241907973,34.707300948327756,24.47765398754531,-43.17609466393462,0.2278576835730509,-33.19838056680162,44.6889315005633,42.07608458694746,-382187.1593918443,-680238.4605835167,58123185.107950084,66582461.49980011,33.48,34.11,30.72,31.6,753509.02
2018-12-01,-9.87842571605193,-5.6623547730267045,-20.370564839001858,-2.8390138611687026,-0.9014075813459396,-17.75683696902393,-10.945838011639427,-42.85714285714286,43.85093985096672,-2.9801829004815232,-10.945838011639427,40.11934854085467,29.85351640916049,-39.59662770283328,0.3921271763815295,-25.53259141494434,41.62446182247854,32.06040205018442,-98269.47492733349,-598041.144371523,58078269.39563221,67228392.21980011,31.65,37.0,30.96,33.77,645930.72
2018-12-02,-6.317506750675093,-2.3083986039527686,-21.550282226566804,-1.245231955370187,0.4946379313694154,-17.65298272025654,-9.19725749297351,-35.71428571428571,42.561445415246304,-2.866909450146311,-9.19725749297351,39.39018908167376,26.005854889238492,-36.497251903917316,0.655124653739612,-9.61018911617137,40.72104910111109,12.4153289903397,66328.2382864639,-584286.03409435,57888692.2398291,66753218.30980012,33.77,34.67,32.74,33.32,475173.91
2018-12-03,-6.065462525808205,0.023364485981309295,-22.880525553947212,-2.8959236983721284,0.46298736530775575,-17.99218829439045,-8.587610281664473,-21.42857142857143,42.10588090413009,-4.527082651063376,-8.587610281664473,35.059430197933125,25.721415864326318,-35.03239550152718,0.32698961937716287,-7.32093391373169,42.69012380164342,8.980881191753303,-159190.2725636325,-664271.1715238185,57460667.13121728,65933012.55980012,33.32,33.44,29.55,30.48,820205.75
2018-12-04,-6.040702373080613,1.7438809353877045,-23.44597178789174,-3.579552975052674,0.4341821198780396,-17.947248466256838,-7.700780675567112,-21.428571428571427,41.69360048685979,-4.406086305039625,-7.700780675567112,35.6230573737992,27.37888472240519,-33.894038927215895,0.3633217993079589,-15.699658703071655,40.71483185580037,7.071003354218841,-161945.29293268858,-662792.1568645692,57460667.13121728,66352462.55980012,30.48,31.88,29.5,30.69,419450.0
2018-12-05,-5.711325033414947,1.6922263352723368,-24.25376530008645,-5.156598357513795,-0.6213213833677029,-18.23890820518063,-7.424977288639383,28.571428571428573,41.50100208855961,-4.766212901250102,-7.424977288639383,32.724589430083824,31.970871736420705,-33.783872205898675,0.01906412478336212,-11.942959001782526,41.86410270161443,2.757802689813553,-230616.11357893146,-672352.560142013,57086937.77788395,65958531.61980012,30.69,30.98,28.64,28.7,393930.94
2018-12-06,-8.11434194947184,0.18726591760300718,-25.110664818030624,-8.481398017632786,-2.5276222070656873,-18.858622877695982,-7.540716027519791,-57.142857142857146,41.886448343772756,-6.257544176061969,-7.540716027519791,29.479484045867792,33.646547029671964,-34.97224006365457,0.0,-22.688391038696533,44.80778821693659,-1.4416212585621897,-502615.32470453373,-727204.5765074394,56496701.13078717,65234908.15980012,28.7,30.14,25.8,26.2,723623.46
2018-12-07,-11.084459032950384,-1.9288084892683226,-26.110074626865668,-11.503046655315003,-4.476090056846279,-19.63539661483214,-8.046319967142951,-64.28571428571428,42.80744550822223,-8.077161944821206,-8.046319967142951,27.804780802023515,33.49538016822501,-36.3519157439175,0.0,-16.681299385425813,46.731206899926825,-8.705689707398166,-657670.0092362211,-774829.8325140331,56806101.67260983,64003372.66980012,26.2,26.31,22.25,24.79,1231535.49
2018-12-08,-12.621737436696568,-3.3610297056081158,-27.201743150053623,-13.087225588261477,-5.800705364429665,-20.401198561078466,-8.393662235309643,-71.42857142857143,43.60815996299262,-7.498264314744295,-8.393662235309641,27.110752567142697,41.460803504256,-37.90918783370571,0.0,-28.69726471951785,47.45001785017537,-14.78164811112177,-706839.145934328,-767980.8656118024,56593988.49658166,63157303.25980012,24.79,26.42,22.87,24.2,846069.41
2018-12-09,-14.670718013078803,-6.20387144390768,-27.500071834263977,-12.806059677787305,-6.616323426716752,-20.562933306522456,-8.319803417615093,-71.42857142857143,44.26738596006364,-6.920092822245177,-8.319803417615093,30.559260052353594,48.052246475946674,-37.489804856754844,0.10728346456692912,-17.636022514071296,45.03128174791045,-15.647678321829828,-421039.46746595454,-696968.15395815,56549826.362132676,63989589.639800124,24.2,26.58,24.13,25.29,832286.38
