Date,Open,Close,High,Low,Volume
2020-08-04,58.8,57.68,59.59,56.39,29998.13618215
2020-08-03,56.78,58.54,60.03,55.76,36352.73938122
2020-08-02,61.76,56.78,65.32,51.56,112464.30823643
2020-08-01,58.26,61.83,62.32,57.6,53445.55640512
2020-07-31,56.75,58.29,59.22,55.82,37220.5327216
2020-07-30,55.21,56.61,58.64,53.89,43588.64222157
2020-07-29,55.88,55.26,56.95,54.88,59836.3554836
2020-07-28,53.41,55.85,57.91,51.77,83590.33884952
2020-07-27,48.14,53.32,55.95,46.96,92183.49309973
2020-07-26,49.2,48.13,50.71,47.72,42786.9124116
2020-07-25,44.14,49.06,49.58,44.14,42404.80292889
2020-07-24,44.98,44.2,45.01,44.01,14264.62369757
2020-07-23,45.06,45.07,45.7,44.55,21546.09346148
2020-07-22,43.83,45.06,45.14,43.23,13419.96105847
2020-07-21,42.01,43.8,44.13,42.0,13756.35060498
2020-07-20,42.7,42.01,42.8,41.3,11617.12116693
2020-07-19,42.46,42.66,42.83,41.97,7005.20969956
2020-07-18,41.88,42.5,42.86,41.8,7464.49138604
2020-07-17,42.08,41.92,42.45,41.71,11092.07302064
2020-07-16,43.29,42.06,43.4,40.89,25055.97569676
2020-07-15,43.9,43.32,44.05,42.89,15190.57050301
2020-07-14,43.89,43.92,44.05,42.9,16140.47887892
2020-07-13,44.78,43.98,45.58,42.44,33106.00578307
2020-07-12,44.69,44.69,44.69,44.69,0.0
2020-07-11,44.29,44.69,44.75,43.91,6282.60884804
2020-07-10,44.36,44.29,44.58,43.5,10463.87204176
2020-07-09,45.36,44.33,45.85,43.57,23292.34175477
2020-07-08,43.41,45.34,45.58,43.11,21957.70025767
2020-07-07,44.1,43.31,44.44,43.09,10079.61563833
2020-07-06,41.61,44.12,44.16,41.59,14078.8575444
2020-07-05,42.1,41.67,42.16,40.82,7704.25262363
2020-07-04,41.12,42.11,42.21,41.12,8108.69551588
2020-07-03,41.07,41.19,41.64,40.93,7342.2317724
2020-07-02,41.78,41.03,41.93,40.32,10690.23859672
2020-07-01,41.18,41.77,41.99,40.99,9527.83603984
2020-06-30,41.88,41.25,42.0,40.77,488167.86
2020-06-29,41.36,41.88,42.21,40.6,580214.06
2020-06-28,41.07,41.36,41.98,40.45,546842.52
2020-06-27,43.06,41.07,43.06,39.16,681373.72
2020-06-26,42.33,43.06,43.5,41.33,538817.02
2020-06-25,42.56,42.33,42.93,41.63,314339.22
2020-06-24,44.12,42.56,44.59,42.09,487037.53
2020-06-23,44.37,44.12,44.49,43.89,399005.17
2020-06-22,42.97,44.37,44.62,42.97,533641.75
2020-06-21,43.57,42.97,43.81,42.89,224080.14
2020-06-20,42.72,43.57,43.77,42.24,544061.36
2020-06-19,43.42,42.72,43.62,42.6,470777.94
2020-06-18,44.04,43.42,44.16,42.86,480949.62
2020-06-17,43.84,44.04,44.97,43.0,768851.41
2020-06-16,43.79,43.84,44.24,43.37,544754.83
2020-06-15,44.17,43.79,44.17,41.78,667900.51
2020-06-14,45.08,44.17,45.08,43.58,461840.19
2020-06-13,44.68,45.08,45.23,44.31,303815.98
2020-06-12,43.24,44.68,45.34,42.77,644003.47
2020-06-11,46.69,43.24,46.96,42.1,928356.37
2020-06-10,45.93,46.69,47.18,45.75,577579.27
2020-06-09,46.51,45.93,46.84,45.35,663900.3
2020-06-08,46.56,46.51,46.78,46.0,483725.37
